Year,Biomass,Geothermal,Hydroelectric,Solar,Wind
1960,1.3,0,1.6,0,0
1961,1.3,0,1.7,0,0
1962,1.3,0,1.8,0,0
1963,1.3,0,1.8,0,0
1964,1.3,0,1.9,0,0
1965,1.3,0,2.1,0,0
1966,1.4,0,2.1,0,0
1967,1.3,0,2.3,0,0
1968,1.4,0,2.3,0,0
1969,1.4,0,2.6,0,0
1970,1.4,0,2.6,0,0
1971,1.4,0,2.8,0,0
1972,1.5,0,2.9,0,0
1973,3.1,0,5.7,0,0
1974,3.1,0.1,6.4,0,0
1975,3,0.1,6.3,0,0
1976,3.4,0.1,6,0,0
1977,3.7,0.1,4.7,0,0
1978,4.1,0.1,5.9,0,0
1979,4.3,0.1,5.9,0,0
1980,5,0.1,5.8,0,0
1981,5.2,0.1,5.5,0,0
1982,5.3,0.1,6.5,0,0
1983,5.8,0.1,7.1,0,0
1984,5.9,0.2,6.8,0,0
1985,6,0.2,5.9,0,0
1986,5.9,0.2,6.1,0,0
1987,5.7,0.2,5.3,0,0
1988,6,0.2,4.7,0,0
1989,6.3,0.3,5.7,0.1,0
1990,5.5,0.3,6.1,0.1,0.1
1991,5.6,0.4,6,0.1,0.1
1992,5.9,0.4,5.2,0.1,0.1
1993,5.8,0.4,5.8,0.1,0.1
1994,6.1,0.3,5.4,0.1,0.1
1995,6.2,0.3,6.4,0.1,0.1
1996,6.3,0.3,7.2,0.1,0.1
1997,6.2,0.3,7.3,0.1,0.1
1998,5.9,0.3,6.6,0.1,0.1
1999,5.9,0.3,6.5,0.1,0.1
2000,6,0.3,5.6,0.1,0.1
2001,5.2,0.3,4.5,0.1,0.1
2002,5.4,0.3,5.4,0.1,0.2
2003,5.6,0.3,5.6,0.1,0.2
2004,6,0.4,5.4,0.1,0.3
2005,6.2,0.4,5.4,0.1,0.4
2006,6.4,0.4,5.7,0.1,0.5
2007,6.9,0.4,4.9,0.1,0.7
2008,7.7,0.4,5,0.1,1.1
2009,7.9,0.4,5.3,0.2,1.4
2010,9.1,0.4,5.1,0.2,1.8
2011,9.4,0.4,6.2,0.2,2.3
2012,9.1,0.4,5.3,0.3,2.7
2013,9.6,0.4,5.1,0.4,3.2
2014,10,0.4,4.9,0.7,3.5
2015,10,0.4,4.6,0.9,3.6
2016,10.2,0.4,4.9,1.1,4.2
2017,10.4,0.4,5.5,1.6,4.7
2018,10.7,0.4,5.4,1.9,5.1